
MONTH,ENTITY,PRODUCT_NAME,MEDIAN_PRICE,CHURNED_CUSTOMERS
2021-07-01,kontist,accounting,0,0
2021-08-01,kontist,accounting,39,1
2021-09-01,kontist,accounting,39,3
2021-10-01,kontist,accounting,39,1
2021-11-01,kontist,accounting,39,7
2021-12-01,kontist,accounting,39,10
2022-01-01,kontist,accounting,39,3
2022-02-01,kontist,accounting,39,8
2022-03-01,kontist,accounting,39,7
2022-04-01,kontist,accounting,39,10
2022-05-01,kontist,accounting,39,13
2022-06-01,kontist,accounting,39,6
2022-07-01,kontist,accounting,39,8
2022-08-01,kontist,accounting,39,8
2022-09-01,kontist,accounting,39,2
2022-10-01,kontist,accounting,39,2
2022-11-01,kontist,accounting,39,5
2022-12-01,kontist,accounting,39,3
2023-01-01,kontist,accounting,39,11
2023-02-01,kontist,accounting,39,8
2023-03-01,kontist,accounting,0,3
2023-07-01,kontist,accounting,8,2
2023-08-01,kontist,accounting,27,1
2023-09-01,kontist,accounting,29,11
2023-10-01,kontist,accounting,28,8
2023-11-01,kontist,accounting,29,12
2022-06-01,billy,accounting package,470,0
2022-07-01,billy,accounting package,470,0
2022-08-01,billy,accounting package,470,0
2022-10-01,billy,accounting package,470,0
2022-11-01,billy,accounting package,470,0
2022-12-01,billy,accounting package,535,0
2023-01-01,billy,accounting package,537,0
2023-02-01,billy,accounting package,537,0
2023-03-01,billy,accounting package,537,0
2023-04-01,billy,accounting package,536,0
2023-05-01,billy,accounting package,537,0
2023-06-01,billy,accounting package,537,0
2023-07-01,billy,accounting package,536,0
2023-08-01,billy,accounting package,536,0
2023-09-01,billy,accounting package,536,0
2023-10-01,billy,accounting package,535,0
2023-11-01,billy,accounting package,536,0
2020-01-01,advisor,advisor,420,59
2020-02-01,advisor,advisor,404,60
2020-03-01,advisor,advisor,213,88
2020-04-01,advisor,advisor,204,94
2020-05-01,advisor,advisor,197,84
2020-06-01,advisor,advisor,174,129
2020-07-01,advisor,advisor,150,65
2020-08-01,advisor,advisor,153,70
2020-09-01,advisor,advisor,156,59
2020-10-01,advisor,advisor,164,88
2020-11-01,advisor,advisor,160,86
2020-12-01,advisor,advisor,158,64
2021-01-01,advisor,advisor,158,81
2021-02-01,advisor,advisor,158,74
2021-03-01,advisor,advisor,157,63
2021-04-01,advisor,advisor,157,52
2021-05-01,advisor,advisor,156,96
2021-06-01,advisor,advisor,156,100
2021-07-01,advisor,advisor,157,96
2021-08-01,advisor,advisor,158,145
2021-09-01,advisor,advisor,158,88
2021-10-01,advisor,advisor,156,171
2021-11-01,advisor,advisor,166,99
2021-12-01,advisor,advisor,150,125
2022-01-01,advisor,advisor,166,99
2022-02-01,advisor,advisor,170,99
2022-03-01,advisor,advisor,163,183
2022-04-01,advisor,advisor,168,89
2022-05-01,advisor,advisor,173,101
2022-06-01,advisor,advisor,173,122
2022-07-01,advisor,advisor,178,89
2022-08-01,advisor,advisor,184,122
2022-09-01,advisor,advisor,195,129
2022-10-01,advisor,advisor,192,137
2022-11-01,advisor,advisor,199,74
2022-12-01,advisor,advisor,203,141
2023-01-01,advisor,advisor,198,96
2023-02-01,advisor,advisor,199,140
2023-03-01,advisor,advisor,200,93
2023-04-01,advisor,advisor,200,84
2023-05-01,advisor,advisor,205,101
2023-06-01,advisor,advisor,208,72
2023-07-01,advisor,advisor,220,89
2023-08-01,advisor,advisor,213,117
2023-09-01,advisor,advisor,216,80
2023-10-01,advisor,advisor,219,107
2023-11-01,advisor,advisor,216,1279
2018-07-01,billy,annual report,201,0
2018-08-01,billy,annual report,201,0
2018-10-01,billy,annual report,200,0
2018-11-01,billy,annual report,200,0
2018-12-01,billy,annual report,134,0
2019-01-01,billy,annual report,220,0
2019-02-01,billy,annual report,220,0
2019-03-01,billy,annual report,220,0
2019-04-01,billy,annual report,220,0
2019-05-01,billy,annual report,220,0
2019-06-01,billy,annual report,220,0
2019-07-01,billy,annual report,220,0
2019-08-01,billy,annual report,220,0
2019-09-01,billy,annual report,221,0
2019-10-01,billy,annual report,220,0
2019-11-01,billy,annual report,220,0
2019-12-01,billy,annual report,220,0
2020-01-01,billy,annual report,220,0
2020-02-01,billy,annual report,220,0
2020-03-01,billy,annual report,18,0
2020-04-01,billy,annual report,18,0
2020-05-01,billy,annual report,18,0
2020-06-01,billy,annual report,18,0
2020-07-01,billy,annual report,18,0
2020-08-01,billy,annual report,18,0
2020-09-01,billy,annual report,18,0
2020-10-01,billy,annual report,18,0
2020-11-01,billy,annual report,18,0
2020-12-01,billy,annual report,18,0
2021-01-01,billy,annual report,18,0
2021-02-01,billy,annual report,18,0
2021-03-01,billy,annual report,18,0
2021-04-01,billy,annual report,18,0
2021-05-01,billy,annual report,18,0
2021-06-01,billy,annual report,18,0
2021-07-01,billy,annual report,18,0
2021-08-01,billy,annual report,18,0
2021-09-01,billy,annual report,18,0
2021-10-01,billy,annual report,18,0
2021-11-01,billy,annual report,18,0
2021-12-01,billy,annual report,18,0
2022-01-01,billy,annual report,18,0
2022-02-01,billy,annual report,18,0
2022-03-01,billy,annual report,18,0
2022-04-01,billy,annual report,22,0
2022-05-01,billy,annual report,22,0
2022-06-01,billy,annual report,22,0
2022-07-01,billy,annual report,22,0
2022-08-01,billy,annual report,22,0
2022-09-01,billy,annual report,22,0
2022-10-01,billy,annual report,22,0
2022-11-01,billy,annual report,22,0
2022-12-01,billy,annual report,22,0
2023-01-01,billy,annual report,22,0
2023-02-01,billy,annual report,22,0
2023-03-01,billy,annual report,20,0
2023-04-01,billy,annual report,20,0
2023-05-01,billy,annual report,20,0
2023-06-01,billy,annual report,20,0
2023-07-01,billy,annual report,20,0
2023-08-01,billy,annual report,20,0
2023-09-01,billy,annual report,20,0
2023-10-01,billy,annual report,20,0
2023-11-01,billy,annual report,20,0
2023-10-01,tellow,banking,1,0
2023-11-01,tellow,banking,1,8
2017-09-01,salary,basic,3,0
2017-10-01,salary,basic,3,7
2017-11-01,salary,basic,3,1
2017-12-01,salary,basic,3,17
2018-01-01,salary,basic,3,6
2018-02-01,salary,basic,3,13
2018-03-01,salary,basic,3,143
2018-04-01,salary,basic,5,19
2018-05-01,salary,basic,3,24
2018-06-01,salary,basic,3,26
2018-07-01,salary,basic,3,19
2018-08-01,salary,basic,3,27
2018-09-01,salary,basic,3,26
2018-10-01,salary,basic,4,20
2018-11-01,salary,basic,3,36
2018-12-01,salary,basic,3,46
2019-01-01,salary,basic,3,29
2019-02-01,salary,basic,3,36
2019-03-01,salary,basic,3,39
2019-04-01,salary,basic,3,36
2019-05-01,salary,basic,3,63
2019-06-01,salary,basic,3,56
2019-07-01,salary,basic,3,57
2019-08-01,salary,basic,3,51
2019-09-01,salary,basic,3,51
2019-10-01,salary,basic,3,71
2019-11-01,salary,basic,5,60
2019-12-01,salary,basic,4,86
2020-01-01,salary,basic,3,71
2020-02-01,salary,basic,3,70
2020-03-01,salary,basic,4,98
2020-04-01,salary,basic,3,50
2020-05-01,salary,basic,3,56
2020-06-01,salary,basic,3,91
2020-07-01,salary,basic,5,75
2020-08-01,salary,basic,3,91
2020-09-01,salary,basic,3,115
2020-10-01,salary,basic,3,106
2020-11-01,salary,basic,4,84
2020-12-01,salary,basic,3,187
2021-01-01,salary,basic,3,134
2021-02-01,salary,basic,4,122
2021-03-01,salary,basic,3,143
2021-04-01,salary,basic,4,122
2021-05-01,salary,basic,4,140
2021-06-01,salary,basic,3,174
2021-07-01,salary,basic,4,161
2021-08-01,salary,basic,4,163
2021-09-01,salary,basic,4,180
2021-10-01,salary,basic,4,189
2021-11-01,salary,basic,3,216
2021-12-01,salary,basic,3,302
2022-01-01,salary,basic,3,246
2022-02-01,salary,basic,3,176
2022-03-01,salary,basic,3,244
2022-04-01,salary,basic,3,188
2022-05-01,salary,basic,3,279
2022-06-01,salary,basic,3,361
2022-07-01,salary,basic,3,471
