
MONTH,ENTITY,PRODUCT_NAME,TOTAL_CUSTOMERS,CHURNED_CUSTOMERS,CHURN_RATE,MEDIAN_PRICE
2014-01-01,billy,subscription,14,6,0.428571,17
2014-02-01,billy,subscription,100,11,0.110000,17
2014-03-01,billy,subscription,258,13,0.050388,17
2014-04-01,billy,subscription,383,34,0.088773,17
2014-05-01,billy,subscription,492,26,0.052846,17
2014-06-01,billy,subscription,621,24,0.038647,17
2014-07-01,billy,subscription,719,32,0.044506,17
2014-08-01,billy,subscription,800,52,0.065000,17
2014-09-01,billy,subscription,941,34,0.036132,17
2014-10-01,billy,subscription,1052,37,0.035171,17
2014-11-01,billy,subscription,1492,357,0.239276,13
2014-12-01,billy,subscription,1261,41,0.032514,17
2015-01-01,billy,subscription,1716,92,0.053613,17
2015-02-01,billy,subscription,1985,77,0.038791,17
2015-03-01,billy,subscription,2313,78,0.033722,17
2015-04-01,billy,subscription,2640,81,0.030682,17
2015-05-01,billy,subscription,2958,76,0.025693,17
2015-06-01,billy,subscription,3355,92,0.027422,17
2015-07-01,billy,subscription,3544,86,0.024266,17
2015-08-01,billy,subscription,3706,96,0.025904,17
2015-09-01,billy,subscription,3968,75,0.018901,17
2015-10-01,billy,subscription,4317,97,0.022469,17
2015-11-01,billy,subscription,4579,98,0.021402,17
2015-12-01,billy,subscription,4926,122,0.024767,17
2016-01-01,billy,subscription,5204,145,0.027863,17
2016-02-01,billy,subscription,5584,130,0.023281,17
2016-03-01,billy,subscription,5950,193,0.032437,17
2016-04-01,billy,subscription,6132,122,0.019896,14
2016-05-01,billy,subscription,6492,152,0.023413,17
2016-06-01,billy,subscription,6689,146,0.021827,14
2016-07-01,billy,subscription,7763,180,0.023187,13
2016-08-01,billy,subscription,7879,175,0.022211,13
2016-09-01,billy,subscription,7868,170,0.021607,13
2016-10-01,billy,subscription,7892,151,0.019133,13
2016-11-01,billy,subscription,7986,139,0.017405,14
2016-12-01,billy,subscription,8090,216,0.026700,19
2017-01-01,billy,subscription,8177,569,0.069585,19
2017-02-01,billy,subscription,7897,151,0.019121,19
2017-03-01,billy,subscription,8380,175,0.020883,20
2017-04-01,billy,subscription,8424,170,0.020180,20
2017-05-01,billy,subscription,8461,132,0.015601,20
2017-06-01,billy,subscription,8563,591,0.069018,20
2017-07-01,billy,subscription,8198,218,0.026592,20
2017-08-01,billy,subscription,8395,156,0.018582,20
2017-09-01,billy,subscription,8529,163,0.019111,20
2017-09-01,salary,basic,8,0,0.000000,3
2017-10-01,billy,subscription,8662,156,0.018010,20
2017-10-01,salary,basic,42,7,0.166667,3
2017-11-01,billy,subscription,8846,142,0.016052,20
2017-11-01,salary,basic,77,1,0.012987,3
2017-12-01,billy,subscription,8992,175,0.019462,20
2017-12-01,salary,basic,113,17,0.150442,3
2018-01-01,billy,subscription,9147,208,0.022740,20
2018-01-01,salary,basic,144,6,0.041667,3
2018-02-01,billy,subscription,9288,212,0.022825,20
2018-02-01,salary,basic,173,13,0.075145,3
2018-03-01,billy,subscription,9438,210,0.022250,19
2018-03-01,salary,basic,278,143,0.514388,3
2018-04-01,billy,subscription,9522,175,0.018378,19
2018-04-01,salary,basic,190,19,0.100000,5
2018-04-01,zervant,growth,3,0,0.000000,35
2018-04-01,zervant,pro,7,1,0.142857,15
2018-04-01,zervant,starter,11,1,0.090909,7
2018-05-01,billy,subscription,9699,205,0.021136,19
2018-05-01,salary,basic,274,24,0.087591,3
2018-05-01,zervant,growth,6,0,0.000000,35
2018-05-01,zervant,merchant,2,0,0.000000,75
2018-05-01,zervant,pro,18,4,0.222222,15
2018-05-01,zervant,starter,19,5,0.263158,7
2018-06-01,billy,subscription,9785,378,0.038631,19
2018-06-01,salary,basic,291,26,0.089347,3
2018-06-01,zervant,growth,5,1,0.200000,35
2018-06-01,zervant,pro,27,7,0.259259,15
2018-06-01,zervant,starter,26,3,0.115385,7
2018-07-01,billy,annual report,310,0,0.000000,201
2018-07-01,billy,subscription,9686,204,0.021061,19
2018-07-01,salary,basic,321,19,0.059190,3
2018-07-01,zervant,growth,5,0,0.000000,35
2018-07-01,zervant,merchant,2,0,0.000000,75
2018-07-01,zervant,pro,28,3,0.107143,15
2018-07-01,zervant,starter,47,9,0.191489,7
2018-08-01,billy,annual report,5,0,0.000000,201
2018-08-01,billy,subscription,9814,194,0.019768,19
2018-08-01,salary,basic,367,27,0.073569,3
2018-08-01,zervant,growth,5,0,0.000000,35
2018-08-01,zervant,merchant,2,1,0.500000,75
2018-08-01,zervant,pro,37,2,0.054054,15
2018-08-01,zervant,starter,91,20,0.219780,7
2018-09-01,billy,subscription,9960,217,0.021787,19
2018-09-01,salary,basic,396,26,0.065657,3
2018-09-01,zervant,growth,5,1,0.200000,35
2018-09-01,zervant,merchant,1,0,0.000000,75
2018-09-01,zervant,pro,61,10,0.163934,15
2018-09-01,zervant,starter,98,17,0.173469,7
2018-10-01,billy,annual report,1,0,0.000000,200
2018-10-01,billy,subscription,10143,173,0.017056,19
2018-10-01,salary,basic,428,20,0.046729,4
2018-10-01,zervant,growth,13,0,0.000000,35
2018-10-01,zervant,merchant,3,1,0.333333,75
2018-10-01,zervant,pro,993,62,0.062437,15
2018-10-01,zervant,starter,969,68,0.070175,7
2018-11-01,billy,annual report,1,0,0.000000,200
2018-11-01,billy,subscription,16069,1501,0.093410,23
2018-11-01,salary,basic,470,36,0.076596,3
2018-11-01,zervant,custom,1,0,0.000000,300
2018-11-01,zervant,growth,17,1,0.058824,35
2018-11-01,zervant,merchant,3,0,0.000000,75
2018-11-01,zervant,pro,1301,75,0.057648,15
2018-11-01,zervant,starter,1542,96,0.062257,7
2018-12-01,billy,annual report,2,0,0.000000,134
2018-12-01,billy,subscription,10589,229,0.021626,22
2018-12-01,salary,basic,479,46,0.096033,3
2018-12-01,zervant,custom,1,0,0.000000,300
2018-12-01,zervant,growth,26,1,0.038462,35
2018-12-01,zervant,merchant,5,2,0.400000,75
2018-12-01,zervant,pro,1611,185,0.114836,15
2018-12-01,zervant,starter,1865,134,0.071850,7
2019-01-01,billy,annual report,261,0,0.000000,220
2019-01-01,billy,subscription,11592,463,0.039941,22
2019-01-01,salary,basic,524,29,0.055344,3
2019-01-01,zervant,custom,1,0,0.000000,300
2019-01-01,zervant,growth,49,3,0.061224,35
2019-01-01,zervant,merchant,6,0,0.000000,75
2019-01-01,zervant,pro,2252,123,0.054618,15
2019-01-01,zervant,starter,2475,219,0.088485,7
2019-02-01,billy,annual report,167,0,0.000000,220
2019-02-01,billy,subscription,11611,351,0.030230,22
2019-02-01,salary,basic,561,36,0.064171,3
2019-02-01,zervant,custom,1,0,0.000000,300
2019-02-01,zervant,growth,110,13,0.118182,35
2019-02-01,zervant,merchant,25,1,0.040000,75
2019-02-01,zervant,pro,4027,225,0.055873,15
2019-02-01,zervant,starter,3575,290,0.081119,7
2019-03-01,billy,annual report,178,0,0.000000,220
2019-03-01,billy,subscription,11634,332,0.028537,22
2019-03-01,salary,basic,599,39,0.065109,3
2019-03-01,zervant,custom,3,0,0.000000,21
2019-03-01,zervant,growth,139,8,0.057554,35
2019-03-01,zervant,merchant,24,2,0.083333,75
2019-03-01,zervant,pro,4191,151,0.036030,15
2019-03-01,zervant,starter,3745,188,0.050200,7
2019-04-01,billy,annual report,103,0,0.000000,220
2019-04-01,billy,subscription,11639,185,0.015895,22
2019-04-01,salary,basic,641,36,0.056162,3
2019-04-01,zervant,custom,1,0,0.000000,310
2019-04-01,zervant,growth,147,12,0.081633,35
2019-04-01,zervant,merchant,26,4,0.153846,75
2019-04-01,zervant,pro,4282,169,0.039468,15
2019-04-01,zervant,starter,3922,203,0.051759,7
2019-05-01,billy,annual report,161,0,0.000000,220
2019-05-01,billy,subscription,11811,201,0.017018,22
2019-05-01,salary,basic,694,63,0.090778,3
2019-05-01,zervant,custom,2,0,0.000000,210
2019-05-01,zervant,growth,162,10,0.061728,35
2019-05-01,zervant,merchant,26,4,0.153846,75
2019-05-01,zervant,pro,4346,149,0.034284,15
2019-05-01,zervant,starter,4111,221,0.053758,7
2019-06-01,billy,annual report,157,0,0.000000,220
2019-06-01,billy,subscription,11919,404,0.033895,22
2019-06-01,salary,basic,701,56,0.079886,3
2019-06-01,zervant,custom,2,0,0.000000,210
2019-06-01,zervant,growth,156,4,0.025641,35
2019-06-01,zervant,merchant,26,6,0.230769,75
